date,open,high,low,close,volume,trade_count,vwap
2021-01-04,133.56,133.6116,126.76,129.41,143302685,1310227,129.73258
2021-01-05,128.98,131.74,128.43,131.01,97666310,707581,130.717947
2021-01-06,127.53,131.0499,126.382,126.6,155088164,1202577,128.350213
2021-01-07,128.38,131.63,127.86,130.92,109578109,718358,130.153869
2021-01-08,132.5,132.63,130.23,132.05,105158275,800070,131.565744
2021-01-11,129.0,130.17,128.5,128.98,100645853,775071,129.323137
2021-01-12,128.48,129.69,126.86,128.8,91983996,692723,128.482923
2021-01-13,128.62,131.45,128.49,130.89,88642772,596236,130.558824
2021-01-14,130.76,131.0,128.76,128.91,90121756,651395,129.736444
2021-01-15,128.96,130.2242,127.0,127.14,113873633,713319,128.261814
2021-01-19,127.72,128.71,126.938,127.83,90758033,599777,127.697447
2021-01-20,128.62,132.49,128.55,132.03,104326068,668582,131.466833
2021-01-21,133.83,139.67,133.59,136.87,120529754,835005,135.861255
2021-01-22,136.34,139.85,135.02,139.07,114459838,744050,137.853639
2021-01-25,143.13,145.09,136.54,142.92,157697213,1226590,142.625011
2021-01-26,143.56,144.3,141.37,143.16,98390660,743289,142.844242
2021-01-27,143.43,144.3,140.41,142.06,142540886,1155720,142.349349
2021-01-28,139.52,141.99,136.7,137.09,142622260,1239478,139.185208
2021-01-29,135.7,136.74,130.21,131.96,177691957,1695308,132.737594
2021-02-01,133.65,135.38,130.93,134.14,106247823,924207,133.792281
2021-02-02,135.6,136.31,134.61,134.99,83312942,689679,135.221941
2021-02-03,135.56,135.77,133.61,133.94,89880937,699070,134.591682
2021-02-04,136.41,137.4,134.59,137.39,84183568,658080,136.186786
2021-02-05,137.35,137.42,135.86,136.76,75893832,616041,136.651548
2021-02-08,136.11,136.96,134.92,136.91,71297919,614474,136.209411
2021-02-09,136.71,137.877,135.85,136.01,76774223,536825,136.734644
2021-02-10,136.49,136.99,134.4,135.39,73046563,605206,135.480029
2021-02-11,135.98,136.39,133.77,135.13,64430031,547788,134.863105
2021-02-12,134.28,135.53,133.6921,135.37,60145413,481811,134.52065
2021-02-16,135.47,136.01,132.79,133.19,80576756,741083,133.864335
2021-02-17,131.23,132.22,129.47,130.84,98145249,971321,130.590282
2021-02-18,129.22,129.995,127.41,129.71,96857045,859577,128.861037
2021-02-19,130.16,130.71,128.8,129.87,87669018,683765,129.766463
2021-02-22,127.99,129.72,125.6,126.0,103916715,969989,127.045252
2021-02-23,123.79,126.71,118.39,125.86,158276544,1547491,123.307262
2021-02-24,124.98,125.56,122.23,125.35,111068076,965733,124.428864
2021-02-25,124.64,126.4585,120.54,120.99,148200593,1365703,122.603878
2021-02-26,122.61,124.85,121.2,121.26,164562448,1289348,122.919947
2021-03-01,123.78,127.93,122.79,127.79,116308112,924489,126.052824
2021-03-02,128.42,128.72,125.01,125.12,102262884,831905,126.113631
2021-03-03,124.77,125.71,121.84,122.06,112966488,992161,123.378028
2021-03-04,121.72,123.6,118.62,120.13,178169060,1689138,120.80573
2021-03-05,120.96,121.935,117.57,121.42,153766510,1472278,119.778815
2021-03-08,120.92,121.0,116.21,116.36,154397040,1540735,117.939383
2021-03-09,119.1,122.06,118.79,121.085,129525975,1009108,120.690919
2021-03-10,121.63,122.17,119.45,119.98,111944477,1031835,120.329563
2021-03-11,122.47,123.21,121.26,121.96,103034091,790217,122.065786
2021-03-12,120.31,121.17,119.16,121.03,88119483,762391,120.246401
2021-03-15,121.45,124.0,120.42,123.99,92590580,711878,122.977551
2021-03-16,125.71,127.22,124.715,125.57,115228036,835615,125.951292
2021-03-17,124.1,125.8599,122.336,124.76,111933064,896789,123.782586
2021-03-18,122.91,123.18,120.32,120.53,121471176,970647,121.650284
2021-03-19,120.15,121.43,119.675,119.99,185638042,881992,120.200037
2021-03-22,120.26,123.87,120.26,123.39,111912284,723655,122.819113
2021-03-23,123.34,124.24,122.14,122.54,95548486,641873,122.999899
2021-03-24,122.83,122.9,120.065,120.09,88529186,653243,121.213309
2021-03-25,119.41,121.66,119.0,120.59,98844768,807592,120.244004
2021-03-26,120.35,121.48,118.92,121.21,94071359,716067,120.231441
2021-03-29,121.67,122.58,120.7299,121.39,80819373,584887,121.470878
2021-03-30,120.01,120.4031,118.86,119.9,85672010,667924,119.70647
2021-03-31,121.65,123.52,121.15,122.15,118324604,740856,122.60389
2021-04-01,123.65,124.18,122.49,123.0,74996505,525277,123.151262
2021-04-05,123.68,126.1601,123.07,125.9,88530866,641104,125.329015
2021-04-06,126.5,127.13,125.65,126.21,80112299,563774,126.363978
2021-04-07,125.88,127.92,125.14,127.9,83270682,553404,127.101928
2021-04-08,129.0,130.39,128.52,130.36,88641323,637499,129.74031
2021-04-09,129.93,133.04,129.47,132.995,106389624,698517,131.697775
